smiles,Activity2
COC(=O)c1ccc(COC(=O)N2CCN(C(=O)CNC(=O)CBr)CC2)cc1,1.0
O=C(CCl)NCC(=O)N1CCN(C(=O)C23CC4CC(CC(C4)C2)C3)CC1,1.0
COC(=O)C=CCCC(NC(=O)c1cc(C(=O)O)cc([N+](=O)[O-])c1)C(=O)NC(C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
COC(=O)c1ccc2cc(COC(=O)N3CCN(C(=O)CNC(=O)CBr)CC3)ccc2c1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(CC1CC1)C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1,1.0
COC(=O)C=CCCC(NC(=O)c1c[nH]c(=O)c([N+](=O)[O-])c1)C(=O)NC(C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
CCOC(=O)C=CCCC(NC(=O)OCc1ccccc1)C(=O)NC(CCC(N)=O)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)OC,1.0
C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)C3CCCC3)CC2)cc1,1.0
COC(=O)C=CCCC(NC(=O)c1ccncc1C(=O)O)C(=O)NC(C(=O)N1CC(=O)CC1C(=O)NC(C(=O)NC(C(=O)O)C1CCCCC1)C(C)C)C(C)(C)C,1.0
COC(=O)C=CCCC(NC(=O)c1c[nH]c(=O)c([N+](=O)[O-])c1)C(=O)NC(C(=O)N1CC2CCCC2C1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
CNC(=O)C(NC(=O)C(NC(=O)C1CC(=O)CN1C(=O)C(NC(=O)C(CCC=CC(=O)OC)NC(=O)c1ccncc1C(=O)O)C(C)(C)C)C1CCCCC1)C1CCCCC1,1.0
COC(=O)C=CCCC(NC(=O)c1cc([N+](=O)[O-])ccc1C(=O)O)C(=O)NC(C(=O)N1CC=CC1C(=O)NC(C(=O)NC(C(N)=O)C1CCCCC1)C1CCCCC1)C(C)(C)C,1.0
CCOC(=O)C=CCCC(NC(=O)OCc1ccccc1)C(=O)NC(C(=O)N1CCCCC1C(=O)NC(CC(C)C)C(=O)OC)C(C)C,1.0
C=CC(=O)NCCCCC(NC(=O)OCc1ccccc1)C(=O)N1CCN(c2cccc(C)n2)CC1,1.0
